title,release_date,genre,rating,story,review,url
0.0MHz,개봉일 : 2019-05-29,공포,Unable to get rating,"에디슨의 마지막 발명품, 유령 탐지기?“증명할 수 없는 미스터리란 없다”가지 말라는 곳에 가야 하는 이유가 있다세상에 일어나는 초자연 미스터리를 분석하는 동아리 0.0MHz 멤버들이 귀신을 부르는 주파수를 증명하기 위해 우하리의 한 흉가를 찾은 후 기이한 현상이 멈추지 않는데…","penny2003
2019-06-02 23:31:32
5
90년대 중반 심은하 주연 납량 특집드라마 'M' 을 다시 보는 느낌이 들었다.
신고",http://www.cine21.com/movie/info/?movie_id=52988
10 미니츠 곤,개봉일 : 2019-11,"범죄, 액션",Unable to get rating,"룰이 깨진 순간, 모든 멤버가 타겟이 된다!동물적인 직감과 1초의 오차도 용납하지 않는 설계자 ‘렉스’철저한 계획 하에 움직이는 기술자 ‘프랭크’와 멤버들은은행을 털지만 비상벨이 울리고 경찰과 시가전을 벌이고프랭크는 의문의 공격으로 기억을 잃는데…룰이 깨지고 모든 멤버들이 타겟이 된다.지워진 10분, 사건이 재구성된다!사라진 돈의 전쟁이 시작된다!","hwachul92
2019-12-28 18:46:00
2
전개도 너무 시시한데다 결말도 엄청 이상하게 지어서 내용이 뭐가 어떻게 돌아가는지 도무지 이해하기 어려운 영화였습니다! 게다가 두 주인공 중 누가 진짜 주인공인지도 분간도 어렵고, 10분간의 기억을 찾기 위하여 고군분투하는 모습도 개연성과 공감도도 떨어져서 전반적으로 너무 재미없는 영화였습니다! 내용 자체가 실망투성이였으니, 별 1개 드립니다!!
more
신고",http://www.cine21.com/movie/info/?movie_id=55539
100일 동안 100가지로 100퍼센트 행복찾기,개봉일 : 2019-09-12,코미디,Unable to get rating,"어렸을 적부터 함께 자라고, IT 회사도 공동 운영,사는 집도 아랫집, 윗집으로 이웃사촌인 ‘폴’과 ‘토니’는 둘도 없는 X랄 친구!스마트폰과 아마존 없이는 못 사는 #소비킹 ‘폴’과자신감과 발모약 없이는 못 사는 #자기관리킹 ‘토니’가1,400만 유로라는 빅딜 성사 후의 축하 파티에서거하게 취해 신경전을 벌이다가 홧김에 황당한 내기를 하게 된다.모든 것을 버린 후, 하루에 한 가지 물건을 돌려받으며100일을 버텨야 하는 ‘100일 챌린지’를 하게 된 ‘폴’과 ‘토니’!극과 극 성격, X랄 친구들의죽자고 덤비는 기상천외 100일 챌린지가 시작된다!","penny2003
2019-09-22 20:59:10
6
뻔한 재미와 감동이지만 시츄에이션 설정이 독창적이었다.
신고",http://www.cine21.com/movie/info/?movie_id=55031
12번째 솔저,개봉일 : 2019-04-11,전쟁,12세이상관람가,"제2차 세계대전 나치에 점령된 노르웨이.나치를 함락시킬 유일한 ‘마틴 레드 작전’에 노르웨이 저항군 12명이 투입된다.하지만 작전 도중 발각되어 이들 중 11명은 체포되고단 1명, '얀'만이 총상을 입은 채 탈출에 성공한다.혹독한 추위와 험난한 설산 속에서냉혈한 나치 친위대 쿠르트 슈타게는 집요하게 추격해오는데…","hwachul92
2019-04-27 11:03:41
7
제2차 세계대전 때, 나치로부터 노르웨이를 되찾기 위한 작전을 펼친 노르웨이 비밀 군대와 거기서 임무 완수하고 살아 돌아온 노르웨이 장교의 숨막히고 치열한 고난과 역경, 강인한 정신력에 이르기까지 감동적이었고, 그를 끝까지 추격한 나치 장교의 교활함까지 실화라고 믿기지 않을 정도였습니다! 하지만 크게 흥행할 정도가 아니라서 좀 아쉽기는 했으나 나름대로 볼만했으니, 별 3개 반 드립니다!
more
신고",http://www.cine21.com/movie/info/?movie_id=54607
13년의 공백,개봉일 : 2019-07-04,"드라마, 가족",12세이상관람가,"“아버지가 너무 싫습니다.그런데, 조금은 좋아하는 것 같기도 합니다.”담배를 사러 다녀 오겠다는 아버지는 그렇게 돌아오지 않았다.엄마는 아버지 대신 일을 나가고, 형은 엄마 대신 내 도시락을 준비했다.원망과 그리움이 한 데 섞인 13년이 흐른 지금,아버지와의 틈을 메우지 못한 채 아주 오랜만에 그를 마주한다.",There is no reviews for this movie,http://www.cine21.com/movie/info/?movie_id=54778
1919 유관순,개봉일 : 2019-03-14,다큐멘터리,12세이상관람가,"“너희는 결코 우리를 재판할 수 없다.”100년 전, 소녀들이 대한독립을 위해 세상에 맞서기 시작했다.우리가 기억해야 할 그 시절 모든 소녀들의 이름,그녀들이 남긴 그날의 가장 생생한 기록!",There is no reviews for this movie,http://www.cine21.com/movie/info/?movie_id=54236
2047 버추얼 레볼루션,개봉일 : 2019-10-03,"액션, 스릴러, SF",Unable to get rating,"가상현실 기술의 발달로 환상과 현실이 혼합된 근 미래의 유럽.어느 날, 사이버 세계 속에서 한 테러조직에 의한 살인사건이 발생하고, 가상과 현실의 구분 없이 살고 있는 사설탐정 ‘내쉬’는 이 테러조직을 추격하기로 한다.온라인 가상의 세계와 현실을 오가며 테러리스트를 쫓기 시작하고, 이는 되돌릴 수 없는 결과를 불러오는데…이 곳에서 상상할 수 있는 모든 액션이 뒤집힌다!",There is no reviews for this movie,http://www.cine21.com/movie/info/?movie_id=55352
47미터 2,개봉일 : 2019-08-28,"스릴러, 공포",Unable to get rating,"물에 잠긴 고대 마야의 수중도시 '시발바'를 향해 짜릿한 동굴 다이빙에 나선 '미아'와 친구들은 예기치 못한 사고로 미로 같은 동굴 속에 갇혀 헤매던 중 오랜 시간 굶주린 블라인드 샤크와 맞닥뜨리게 된다.산소도, 탈출구도 없는 칠흑 같은 어둠 속에 갇힌 이들은 눈 보다 예민한 제3의 감각으로 좁혀오는 상어떼를 피해 목숨을 건 극한의 숨바꼭질을 시작하는데..8월 28일, 가장 완벽한 썸머블록버스터의 귀환!","sonso1112
2019-09-06 15:01:46
4
상어영화는 역시 죠스가 최고.
신고",http://www.cine21.com/movie/info/?movie_id=54951
47미터 2,개봉일 : 2019-08-28,"스릴러, 공포",Unable to get rating,"물에 잠긴 고대 마야의 수중도시 '시발바'를 향해 짜릿한 동굴 다이빙에 나선 '미아'와 친구들은 예기치 못한 사고로 미로 같은 동굴 속에 갇혀 헤매던 중 오랜 시간 굶주린 블라인드 샤크와 맞닥뜨리게 된다.산소도, 탈출구도 없는 칠흑 같은 어둠 속에 갇힌 이들은 눈 보다 예민한 제3의 감각으로 좁혀오는 상어떼를 피해 목숨을 건 극한의 숨바꼭질을 시작하는데..8월 28일, 가장 완벽한 썸머블록버스터의 귀환!","penny2003
2019-08-31 23:10:38
5
역시 전작 보다 뛰어난 후속작은 없었다.
신고",http://www.cine21.com/movie/info/?movie_id=54951
6솔져스,Unable to get the release date,전쟁,Unable to get rating,"터키 국경 지역에서 잔악무도한 테러 단체가 판치는 가운데, 알파슬란 대위가 이끄는 특수부대가 아군을 돕기 위해 진격에 나선다. 하지만 알파슬란의 절친한 동료이자 공군 소속 오누르 대위가 공습 도중 실종된다. 이에 알파슬란의 6명 특수 부대원은 테러범보다 먼저 오누르 대위를 찾기 위해, 그리고 조국을 지키기 위한 마지막 방어선을 지키기 위해 목숨을 바친 위험한 전쟁을 시작하는데...!어떤 상황에서도 끝까지 전진한다! 거대한 테러에 맞선 위대한 전쟁을 확인하라!",There is no reviews for this movie,http://www.cine21.com/movie/info/?movie_id=54760
