title,genre,running_time,release_date,director,actor,rating,summary
0.0MHz,공포,102분,2019 .05.29 개봉,유선동,"정은지(소희), 이성열(상엽), 최윤영(윤정)",15세 관람가,"에디슨의 마지막 발명품, 유령 탐지기?
 “증명할 수 없는 미스터리란 없다”
 가지 말라는 곳에 가야 하는 이유가 있다
 
 세상에 일어나는 초자연 미스터리를 분석하는 동아리 0.0MHz 멤버들이 귀신을 부르는 주파수를 증명하기 위해 우하리의 한 흉가를 찾은 후 기이한 현상이 멈추지 않는데…"
1 더하기 3,멜로/로맨스,101분,2019 .12.12 개봉,프룻 첸,증미혜자,청소년 관람불가,"멈추지 않는 성욕과 사랑하는 세 명의 남편을 위해,
 선상에서 밤낮 없이 몸을 파는 여인 무이.
 결코 마르지 않은 그녀의 샘,
 그리고 이를 탐한 세 남자의 운명은 과연 어디로 흘러갈까?"
10 미니츠 곤,"액션, 범죄",96분,2019 .11.21 개봉,브라이언 A 밀러,"브루스 윌리스, 마이클 치클리스",15세 관람가,"동물적인 직감과 1초의 오차도 용납하지 않는 설계자 ‘렉스’
 철저한 계획 하에 움직이는 기술자 ‘프랭크’와 멤버들은
 은행을 털지만 비상벨이 울리고 경찰과 시가전을 벌이고
 프랭크는 의문의 공격으로 기억을 잃는데…
 룰이 깨지고 모든 멤버들이 타겟이 된다.
 지워진 10분, 사건이 재구성된다!
 
 사라진 돈의 전쟁이 시작된다!"
100일 동안 100가지로 100퍼센트 행복찾기,코미디,111분,2019 .09.12 개봉,플로리안 데이비드 핏츠,"플로리안 데이비드 핏츠(폴), 마치아스 슈와바이어퍼(토니)",15세 관람가,"어렸을 적부터 함께 자라고, IT 회사도 공동 운영,
 사는 집도 아랫집, 윗집으로 이웃사촌인 ‘폴’과 ‘토니’는 둘도 없는 X랄 친구!
 
 스마트폰과 아마존 없이는 못 사는 #소비킹 ‘폴’과
 자신감과 발모약 없이는 못 사는 #자기관리킹 ‘토니’가
 1,400만 유로라는 빅딜 성사 후의 축하 파티에서
 거하게 취해 신경전을 벌이다가 홧김에 황당한 내기를 하게 된다.
 
 모든 것을 버린 후, 하루에 한 가지 물건을 돌려받으며
 100일을 버텨야 하는 ‘100일 챌린지’를 하게 된 ‘폴’과 ‘토니’!
 
 극과 극 성격, X랄 친구들의
 죽자고 덤비는 기상천외 100일 챌린지가 시작된다!"
10년,드라마,99분,2019 .12.12 개봉,"하야카와 치에, 키노시타 유스케, 츠노 메구미","스기사키 하나, 쿠니무라 준, 이케와키 치즈루",전체 관람가,"안락사, 인공지능과 완전히 통제된 교육,
 디지털 유산과 알 권리, 환경오염, 전쟁을 비롯해
 이미 우리의 이야기일 수도,
 혹은 우리의 이야기가 될 수도 있는 세상
 
 고레에다 히로카즈 감독 & 신예 5인 감독이 함께 만든
 냉철하지만 그 안에 따뜻함이 숨어있는 다섯 개의 시선에 관한 이야기"
12번째 솔저,전쟁,135분,2019 .04.11 개봉,해럴드 즈워트,"토마스 갈라스타드(얀 볼스루드), 조나단 리스 마이어스(커트 스테이지)",12세 관람가,"제2차 세계대전 나치에 점령된 노르웨이.
 나치를 함락시킬 유일한 ‘마틴 레드 작전’에 노르웨이 저항군 12명이 투입된다.
 하지만 작전 도중 발각되어 이들 중 11명은 체포되고
 단 1명, '얀'만이 총상을 입은 채 탈출에 성공한다.
 혹독한 추위와 험난한 설산 속에서
 냉혈한 나치 친위대 쿠르트 슈타게는 집요하게 추격해오는데…"
13년의 공백,"드라마, 가족",71분,2019 .07.04 개봉,사이토 타쿠미,"타카하시 잇세이(마츠다 코지), 릴리 프랭키(마츠다 마사토), 사이토 타쿠미(마츠다 요시유키)",12세 관람가,"담배를 사러 다녀 오겠다는 아버지는 그렇게 돌아오지 않았다.
 엄마는 아버지 대신 일을 나가고, 형은 엄마 대신 내 도시락을 준비했다.
 원망과 그리움이 한 데 섞인 13년이 흐른 지금,
 아버지와의 틈을 메우지 못한 채 아주 오랜만에 그를 마주한다."
1919 유관순,다큐멘터리,79분,2019 .03.14 개봉,신상민,"이새봄(유관순), 양윤희(어윤희), 김나니(권애라)",12세 관람가,"100년 전, 소녀들이 대한독립을 위해 세상에 맞서기 시작했다.
 우리가 기억해야 할 그 시절 모든 소녀들의 이름,
 그녀들이 남긴 그날의 가장 생생한 기록!"
2047 버추얼 레볼루션,"SF, 액션",92분,2019 .10.03 개봉,가이-로저 듀버트,"마이크 도퍼드(내쉬), 제인 배들러(디나), 요헨 해겔(스틸슨)",15세 관람가,"가상현실 기술의 발달로 환상과 현실이 혼합된 근 미래의 유럽.
 어느 날, 사이버 세계 속에서 한 테러조직에 의한 살인사건이 발생하고, 가상과 현실의 구분 없이 살고 있는 사설탐정 ‘내쉬’는 이 테러조직을 추격하기로 한다.
 온라인 가상의 세계와 현실을 오가며 테러리스트를 쫓기 시작하고, 이는 되돌릴 수 없는 결과를 불러오는데…
 
 이 곳에서 상상할 수 있는 모든 액션이 뒤집힌다!"
47미터 2,"공포, 스릴러",90분,2019 .08.28 개봉,요하네스 로버츠,"소피 넬리스(미아), 시스틴 로즈 스탤론(니콜), 브리안느 쥬(알렉사)",15세 관람가,"물에 잠긴 고대 마야의 수중도시 '시발바'를 향해
 짜릿한 동굴 다이빙에 나선 '미아'와 친구들은
 예기치 못한 사고로 미로 같은 동굴 속에 갇혀 헤매던 중
 오랜 시간 굶주린 블라인드 샤크와 맞닥뜨리게 된다.
 
 산소도, 탈출구도 없는 칠흑 같은 어둠 속에 갇힌 이들은
 눈 보다 예민한 제3의 감각으로 좁혀오는 상어떼를 피해
 목숨을 건 극한의 숨바꼭질을 시작하는데.."
48시간: 지구 최후의 날,코미디,97분,2019 .08.01 개봉,알렉산더 보이코브,알렉세이 드미트리에브,15세 관람가,"어느 날 갑자기 세상이 사라졌다! 하루아침에 모두 붕괴되어 버린 건물들과 사라져버린 사람들.
 원인을 추적하던 일당은 이 일이 참사 전 탈옥한 죄수들과 관련되어 있음을 알게 된다.
 이제 세상을 구하기 위해 48시간 안에 발전소 테러와 미사일 발사 계획을 반드시 막아야만 한다!"
6솔져스,"액션, 전쟁",105분,2019 .05.16 개봉,M. 차가타이 토순,케렘 버신,15세 관람가,"터키 국경 지역에서 잔악무도한 테러 단체가 판치는 가운데, 알파슬란 대위가 이끄는 특수부대가 아군을 돕기 위해 진격에 나선다.
 하지만 알파슬란의 절친한 동료이자 공군 소속 오누르 대위가 공습 도중 실종된다.
 이에 알파슬란의 6명 특수 부대원은 테러범보다 먼저 오누르 대위를 찾기 위해, 그리고 조국을 지키기 위한 마지막 방어선을 지키기 위해 목숨을 바친 위험한 전쟁을 시작하는데...!
 어떤 상황에서도 끝까지 전진한다! 거대한 테러에 맞선 위대한 전쟁을 확인하라!"
7 솔져스,"액션, 드라마, 전쟁",110분,2019 .09.19 개봉,다미안 뵈르그,디나 샤하비,청소년 관람불가,"군인들이 어떻게 생활하는지, 그들의 인간적인 모습을 알리고 싶어서 미군부대를 따라 아프간 전쟁에 취재 나온 젊은 종군기자 샘 그레이디.
 군인들도 가족과 감정이 있는 똑같은 사람이라는 걸 깨닫게 된다.
 팀을 따라 도보 순찰을 나갔다가 갑자기 탈레반군을 만나게 되고 황급히 벙커를 찾아 숨는다.
 물도 음식도 없는 벙커에서 버티던 중, 폭탄을 찬 아프간 여자가 벙커에 들어온다.
 여자는 폭탄을 터뜨리지 않았고, 순순히 잡혀 의자에 묶인다.
 미군들이 전쟁터에 두고 온 동료들을 구하러 나간 후 샘은 벙커에 여자와 단둘이 남겨지는데..."
82년생 김지영,드라마,118분,2019 .10.23 개봉,김도영,"정유미(지영), 공유(대현)",12세 관람가,"1982년 봄에 태어나
 누군가의 딸이자 아내, 동료이자 엄마로
 2019년 오늘을 살아가는 ‘지영’(정유미).
 때론 어딘가 갇힌 듯 답답하기도 하지만
 남편 ‘대현’(공유)과 사랑스러운 딸,
 그리고 자주 만나지 못해도 항상 든든한 가족들이 ‘지영’에겐 큰 힘이다.
 
 하지만 언젠가부터 마치 다른 사람이 된 것처럼 말하는 ‘지영’.
 ‘대현’은 아내가 상처 입을까 두려워 그 사실을 털어놓지 못하고
 ‘지영’은 이런 ‘대현’에게 언제나 “괜찮다”라며 웃어 보이기만 하는데…
 
 모두가 알지만 아무도 몰랐던
 당신과 나의 이야기"
8년 전쟁: 이란 vs 이라크,"액션, 전쟁",96분,2019 .04.25 개봉,모하메드 호세인 마흐다비안,하디 헤자지파르,15세 관람가,8년간 이어진 이란-이라크 전쟁의 영웅 아흐마드 모테바젤. 지휘관이자 혁명가인 그는 폭탄이 떨어지는 전쟁 한복판에서 군 사령관으로서의 출중한 능력뿐만 아니라 소외된 사람들까지 챙기며 모두의 신임을 얻는다. 이 기나긴 전쟁을 끝나기 위해 아흐마드는 절대 포기 하지 않는다!
EBS 댄스파티!,가족,40분,2019 .10.16 개봉,박상용,"서홍석(번개맨), 정승민(번개걸), 최오식(나잘난)",전체 관람가,"번개맨, 번개걸, 뿡뿡이, 뿡순이, 뚜앙 등 EBS 캐릭터들이 최초로 한 자리에 총 출동!
 극장형 어린이 OST 싱어롱 콘서트!
 레인보우 댄스파티에 어린이 여러분을 초대합니다!"
가버나움,드라마,126분,2019 .01.24 개봉,나딘 라바키,"자인 알 라피아(자인), 요르다노스 시프로우(라힐)",15세 관람가,"나를 세상에 태어나게 한
 ""부모님을 고소하고 싶어요...""
 -출생기록조차 없이 살아온 어쩌면 12살 소년 '자인'으로부터"
갈까부다,다큐멘터리,76분,2019 .09.01 개봉,고봉수,"최은비(은비), 고봉수(봉수), 김정기(조연출)",12세 관람가,"43살 영화감독 고봉수는 자신보다 18살 어린 여자친구 최은비를 위해 국악 다큐멘터리를 기획한다.
 지금까지 여자친구에게 제대로 된 선물을 한 적이 없던 고봉수는 여자친구가 크게 감동 할 것이라 생각해 야심차게 준비하지만 다큐멘터리 제작을 위해 여자친구의 친구들과 가족들을 인터뷰를 하는 과정에서 온갖 욕과 모욕적인 말을 듣게 되고 극심한 반대에 부딪힌다.
 
 좌절한 고봉수는 최은비의 아버지를 자신의 편으로 만들면 모든 것이 해결될 것이라 생각해 최은비의 아버지를 찾아가지만 되려 최은비의 아버지는 고봉수를 구타하며 크게 분노한다.
 자신과 여자친구의 가족들 뿐 아니라 주변 모든 지인들이 반대를 하는 연애.
 결국 둘은 반대에 지쳐 헤어지게 된다.
 고봉수는 마지막 선물로써 여자친구의 국악 다큐멘터리를 완성시킨다."
