title,score,content,write_date,release_date,source_site
0.0MHz,1,와 정말 무서운집 수준의 공포영화가 한국에 다시 나왔네요. 꼭 보러 가세요.착석하신 순간부터 무서우실 겁니다.그 땐 환불이 안 되거든요.,2019.05.29 13:30,2019 .05.29 개봉,naver
0.0MHz,10,"내용 구성이나 연출, cg는 저예산 영화 정도의 수준이었지만 정은지가 연기를 잘한다",2019.05.29 10:58,2019 .05.29 개봉,naver
0.0MHz,2,상엽이 형은 어쩌다가 어릴때 죽었는지 다리 피흘리는 여고생 연관있을줄 알았는데 연관도 없고귀신은 어쩌다 자살을 했는지 그런것도 없고 영화를 만들다 말았음;,2019.05.29 20:15,2019 .05.29 개봉,naver
0.0MHz,10,정은지 연기 소름...,2019.05.29 12:21,2019 .05.29 개봉,naver
0.0MHz,6,일단 정은지는 완전 합격점. 최윤영도 좋았다. 여배우 둘 빼면 에휴...게다가 초반 고막 묵직하게 울리는 음향 효과 완전 좋았는데 그게 끝. ㅋ원작의 공포감을 다 살리지 못한 연출 너무 아쉽다.,2019.05.29 11:34,2019 .05.29 개봉,naver
0.0MHz,10,정은지는 노래도 월클이고 연기까지 월클인 것 같다. !,2019.05.29 11:37,2019 .05.29 개봉,naver
0.0MHz,10,정은지 스크린 데뷔 넘 좋았음 ㅠㅠ 표정 꿈에 나올듯 개무섭,2019.05.29 11:27,2019 .05.29 개봉,naver
0.0MHz,10,킬링타임용 공포영화로는 괜찮음 단점도 많지만 볼만한 부분도 있음 여자 배우들 연기는 괜찮음,2019.05.29 11:29,2019 .05.29 개봉,naver
0.0MHz,10,아는형님에서 정은지 눈빛연기보고 이건 봐야겠다 했는데 공포연기 ㅎㄷㄷ 눈빛 진짜 공포물 최적화,2019.05.29 09:35,2019 .05.29 개봉,naver
0.0MHz,10,정은지 연기 물올랐다 ㄷㄷㄷ 보는내내 숨막혀 죽는줄 원작웹툰도 명작이었는데 영화도 꿀잼이었다,2019.05.29 12:11,2019 .05.29 개봉,naver
0.0MHz,1,와 정말 무서운집 수준의 공포영화가 한국에 다시 나왔네요. 꼭 보러 가세요.착석하신 순간부터 무서우실 겁니다.그 땐 환불이 안 되거든요.,2019.05.29 13:30,2019 .05.29 개봉,naver
0.0MHz,10,"내용 구성이나 연출, cg는 저예산 영화 정도의 수준이었지만 정은지가 연기를 잘한다",2019.05.29 10:58,2019 .05.29 개봉,naver
0.0MHz,2,상엽이 형은 어쩌다가 어릴때 죽었는지 다리 피흘리는 여고생 연관있을줄 알았는데 연관도 없고귀신은 어쩌다 자살을 했는지 그런것도 없고 영화를 만들다 말았음;,2019.05.29 20:15,2019 .05.29 개봉,naver
0.0MHz,10,정은지 연기 소름...,2019.05.29 12:21,2019 .05.29 개봉,naver
0.0MHz,6,일단 정은지는 완전 합격점. 최윤영도 좋았다. 여배우 둘 빼면 에휴...게다가 초반 고막 묵직하게 울리는 음향 효과 완전 좋았는데 그게 끝. ㅋ원작의 공포감을 다 살리지 못한 연출 너무 아쉽다.,2019.05.29 11:34,2019 .05.29 개봉,naver
0.0MHz,10,정은지는 노래도 월클이고 연기까지 월클인 것 같다. !,2019.05.29 11:37,2019 .05.29 개봉,naver
0.0MHz,10,정은지 스크린 데뷔 넘 좋았음 ㅠㅠ 표정 꿈에 나올듯 개무섭,2019.05.29 11:27,2019 .05.29 개봉,naver
0.0MHz,10,킬링타임용 공포영화로는 괜찮음 단점도 많지만 볼만한 부분도 있음 여자 배우들 연기는 괜찮음,2019.05.29 11:29,2019 .05.29 개봉,naver
0.0MHz,10,아는형님에서 정은지 눈빛연기보고 이건 봐야겠다 했는데 공포연기 ㅎㄷㄷ 눈빛 진짜 공포물 최적화,2019.05.29 09:35,2019 .05.29 개봉,naver
0.0MHz,10,정은지 연기 물올랐다 ㄷㄷㄷ 보는내내 숨막혀 죽는줄 원작웹툰도 명작이었는데 영화도 꿀잼이었다,2019.05.29 12:11,2019 .05.29 개봉,naver
1 더하기 3,1,다들의미부여하며 지식인들처럼 내뱉지만난 그냥 내속까지 더러운영화,2020.06.15 15:29,2019 .12.12 개봉,naver
1 더하기 3,10,증미혜자라는 배우의 발견 정말 미친 연기,2019.12.24 20:57,2019 .12.12 개봉,naver
1 더하기 3,10,"옥보단, 감각의 제국보다 쎄고 메세지도 강하다",2019.12.21 12:30,2019 .12.12 개봉,naver
1 더하기 3,10,미드나잇 에프터도 그렇고 똘끼 충만한 감독이네 ㅋㅋㅋㅋ,2019.12.17 09:09,2019 .12.12 개봉,naver
1 더하기 3,10,"인어=홍콩, 3남편=중국, 홍콩정부, 홍콩시민 / 과연 누가 이런 내용으로 이런 영화를 만들수 있을까 놀랍다",2019.12.16 03:15,2019 .12.12 개봉,naver
1 더하기 3,10,완벽한비유. 디테일한 연출,2019.12.25 15:54,2019 .12.12 개봉,naver
1 더하기 3,10,온몸 열연 증미혜자 멋지다 인터뷰보니 베짱이 두둑,2019.12.21 12:41,2019 .12.12 개봉,naver
1 더하기 3,10,프룻첸 감독은 나의 기대를 져버리지 않았다! 이렇게 신박할수가,2019.12.16 03:10,2019 .12.12 개봉,naver
1 더하기 3,8,진짜 골때리는데..성기능장애를 빌미리로 매춘을 시키는 남편들을 합리화 거기에 다양한 코스프레 제공 이라니 ㅋㅋ 연기 스토리 7.5정도 되겟습니다,2019.12.15 21:56,2019 .12.12 개봉,naver
1 더하기 3,10,지린다... 육덕쩔음.,2019.12.14 20:58,2019 .12.12 개봉,naver
1 더하기 3,1,다들의미부여하며 지식인들처럼 내뱉지만난 그냥 내속까지 더러운영화,2020.06.15 15:29,2019 .12.12 개봉,naver
1 더하기 3,10,증미혜자라는 배우의 발견 정말 미친 연기,2019.12.24 20:57,2019 .12.12 개봉,naver
1 더하기 3,10,"옥보단, 감각의 제국보다 쎄고 메세지도 강하다",2019.12.21 12:30,2019 .12.12 개봉,naver
1 더하기 3,10,미드나잇 에프터도 그렇고 똘끼 충만한 감독이네 ㅋㅋㅋㅋ,2019.12.17 09:09,2019 .12.12 개봉,naver
1 더하기 3,10,"인어=홍콩, 3남편=중국, 홍콩정부, 홍콩시민 / 과연 누가 이런 내용으로 이런 영화를 만들수 있을까 놀랍다",2019.12.16 03:15,2019 .12.12 개봉,naver
1 더하기 3,10,완벽한비유. 디테일한 연출,2019.12.25 15:54,2019 .12.12 개봉,naver
1 더하기 3,10,온몸 열연 증미혜자 멋지다 인터뷰보니 베짱이 두둑,2019.12.21 12:41,2019 .12.12 개봉,naver
1 더하기 3,10,프룻첸 감독은 나의 기대를 져버리지 않았다! 이렇게 신박할수가,2019.12.16 03:10,2019 .12.12 개봉,naver
